city ,prec_no,block_no
札幌,14,47412
青森,31,47575
盛岡,33,47584
仙台,34,47590
秋田,32,47582
山形,35,47588
福島,36,47595
水戸,40,47629
宇都宮,41,47615
前橋,42,47624
さいたま,43,0363
千葉,45,47682
東京,44,47662
横浜,46,47670
新潟,54,47604
富山,55,47607
金沢,56,47605
福井,57,47616
山梨,49,47638
長野,48,47610
岐阜,52,47632
静岡,50,47656
名古屋,51,47636
津,53,47651
大津,60,0586
京都,61,47759
大阪,62,47772
神戸,63,47770
奈良,64,47780
和歌山,65,47777
鳥取,69,47746
松江,68,47741
岡山,66,47768
広島,67,47765
山口,81,47784
徳島,71,47895
高松,72,47891
松山,73,47887
高知,74,47893
福岡,82,47807
佐賀,85,47813
長崎,84,47817
熊本,86,47819
大分,83,47815
宮崎,87,47830
鹿児島,88,47827
那覇,91,47936